id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43906817,Bungalow in Asheville · ★4.95 · 2 bedrooms · 2 beds · 1 bath,161709340,Bob,,28804,35.63063,-82.57829,Entire home/apt,138,1,77,2023-06-11,2.15,1,343,27,
43912375,Guest suite in Asheville · ★4.99 · 1 bedroom · 1 bed · 1 bath,214505447,Julia,,28805,35.58756,-82.46184,Entire home/apt,120,3,176,2023-06-12,5.03,1,105,63,
43924301,Home in Asheville · 3 bedrooms · 3 beds · 3 baths,96187307,Yonder,,28805,35.59858,-82.50562,Entire home/apt,192,2,0,,,51,187,0,
43945269,Home in Asheville · ★4.82 · 2 bedrooms · 2 beds · 2 baths,96187307,Yonder,,28803,35.54788,-82.50726,Entire home/apt,168,2,33,2023-03-24,0.94,51,343,9,
43959810,Home in Arden · ★4.94 · 3 bedrooms · 4 beds · 2 baths,239857622,Doug And Terri,,28704,35.47484,-82.50477,Entire home/apt,212,2,145,2023-06-15,4.03,1,305,41,
43967257,Home in Asheville · ★4.93 · 3 bedrooms · 4 beds · 2.5 baths,57290621,Joseph,,28806,35.59387,-82.62063,Entire home/apt,135,2,86,2023-06-11,2.38,1,342,29,
44018348,Home in Woodfin · ★4.70 · 3 bedrooms · 3 beds · 2 baths,180564557,David,,28804,35.6267,-82.58205,Entire home/apt,158,1,225,2023-05-29,6.26,8,160,51,
44059758,Bed and breakfast in Asheville · 10 bedrooms · 1 bed · 1 private bath,326751718,Sheri,,28801,35.60528,-82.5697,Private room,330,1,1,2020-07-05,0.03,7,306,0,
44062951,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 private bath,326751718,Sheri,,28801,35.60528,-82.5697,Private room,364,2,2,2022-06-04,0.07,7,308,0,
44063035,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 private bath,326751718,Sheri,,28801,35.60528,-82.5697,Private room,341,1,1,2020-07-12,0.03,7,300,0,
44063130,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 private bath,326751718,Sheri,,28801,35.60528,-82.5697,Private room,330,2,0,,,7,300,0,
44076331,Guest suite in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 bath,145503741,Ryan,,28803,35.56954,-82.52948,Entire home/apt,94,1,237,2023-06-10,6.62,1,79,53,
44087805,Home in Asheville · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,24048855,Bob & Richard,,28806,35.61791,-82.60814,Private room,110,1,45,2023-06-11,1.26,3,325,10,
44088518,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,24048855,Bob & Richard,,28804,35.61991,-82.60693,Private room,110,1,28,2022-10-23,0.79,3,323,6,
44105184,Home in Candler · ★4.91 · 3 bedrooms · 4 beds · 2 baths,246993350,Barry & Sherry,,28715,35.50986,-82.66217,Entire home/apt,177,2,162,2023-05-31,4.60,6,277,64,
44131708,Bed and breakfast in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,196608665,Diane,,28801,35.60613,-82.56315,Private room,296,1,3,2022-09-16,0.09,5,160,1,
44154406,Rental unit in Candler · ★4.88 · 1 bedroom · 1 bed · 1 bath,355229416,Victoria,,28715,35.50982,-82.66601,Entire home/apt,105,2,59,2023-05-21,1.66,1,361,14,
44160341,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 bath,196608665,Diane,,28801,35.60455,-82.56332,Private room,235,1,0,,,5,144,0,
44164284,Home in Asheville · ★4.99 · 3 bedrooms · 4 beds · 2.5 baths,6997230,John,,28806,35.56982,-82.63377,Entire home/apt,266,3,119,2023-06-04,3.42,3,146,32,
44165215,Home in Asheville · ★4.94 · Studio · 1 bed · 1 private bath,134739242,Dana,,28804,35.61424,-82.53984,Private room,150,1,35,2023-05-29,1.30,1,86,8,
44175607,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 bath,326751718,Sheri,,28801,35.60528,-82.5697,Private room,306,1,0,,,7,300,0,
44187942,Home in Asheville · ★4.88 · 3 bedrooms · 4 beds · 2 baths,105838974,Leland,,28806,35.50977,-82.61598,Entire home/apt,144,2,25,2022-07-07,0.72,6,0,2,
44191042,Home in Asheville · ★4.94 · 2 bedrooms · 2 beds · 1 bath,221767106,Dennis,,28805,35.59022,-82.46846,Entire home/apt,119,3,35,2023-05-21,0.99,1,50,15,
44244512,Home in Candler · ★4.88 · 3 bedrooms · 4 beds · 2 baths,246993350,Barry & Sherry,,28715,35.50907,-82.66256,Entire home/apt,154,2,176,2023-06-07,5.02,6,299,66,
44267023,Home in Asheville · ★4.89 · 2 bedrooms · 2 beds · 2 baths,146202451,Nathan,,28806,35.5798,-82.63111,Entire home/apt,96,2,167,2023-05-27,4.86,3,160,49,
44293991,Guest suite in Fletcher · ★4.94 · Studio · 1 bed · 1 bath,165202910,Tiffany,,28732,35.43025,-82.52107,Entire home/apt,80,1,34,2022-10-21,0.96,1,78,2,
44299517,Home in Asheville · ★4.98 · 4 bedrooms · 6 beds · 2.5 baths,10699816,Trace,,28804,35.62695,-82.52247,Entire home/apt,496,1,205,2023-06-15,5.85,7,127,68,
44319940,Rental unit in Asheville · ★4.47 · 1 bedroom · 1 bed · 1 bath,176087087,Danny,,28806,35.59671,-82.62163,Entire home/apt,108,1,59,2022-11-13,1.70,4,235,10,
44385896,Bed and breakfast in Asheville · 1 bedroom · 1 bed · 1 private bath,326751718,Sheri,,28801,35.60528,-82.5697,Private room,298,1,1,2020-10-03,0.03,7,324,0,
44392508,Bungalow in Woodfin · ★4.84 · 2 bedrooms · 2 beds · 1 bath,288502396,Jennica,,28804,35.63866,-82.59613,Entire home/apt,148,1,216,2023-06-04,6.21,2,128,57,
44449439,Rental unit in Asheville · ★4.97 · 2 bedrooms · 2 beds · 1 bath,5111981,Jessica,,28805,35.61438,-82.48791,Entire home/apt,104,2,63,2023-06-07,1.81,2,276,23,
44489142,Home in Asheville · ★4.84 · 3 bedrooms · 4 beds · 1.5 baths,124060715,Evolve,,28804,35.64571,-82.50859,Entire home/apt,142,2,51,2023-06-04,1.47,1,336,19,
44505327,Rental unit in Fletcher · ★4.99 · 1 bedroom · 1 bed · 1 bath,55918963,Mike And Cate,,28732,35.43109,-82.52014,Entire home/apt,99,1,175,2023-06-14,5.07,2,345,36,
44556542,Home in Asheville · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,281471581,Joanie,,28801,35.58832,-82.55073,Private room,94,30,96,2022-06-24,2.76,5,90,4,
44561631,Home in Asheville · ★4.80 · 1 bedroom · 1 bed · 1.5 shared baths,281471581,Joanie,,28801,35.58636,-82.5512,Private room,48,30,83,2022-06-24,2.38,5,90,3,
44573884,Home in Asheville · ★5.0 · 3 bedrooms · 3 beds · 2 baths,145533530,Christy,,28803,35.57531,-82.5397,Entire home/apt,113,30,10,2022-06-04,0.29,3,263,0,
44577918,Guest suite in Asheville · ★4.96 · 1 bedroom · 2 beds · 1 private bath,306509163,Patrick,,28806,35.58445,-82.57924,Private room,98,2,81,2023-06-12,2.38,2,26,30,
44597185,Home in Asheville · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,281471581,Joanie,,28801,35.5854,-82.55119,Private room,43,30,82,2022-06-26,2.35,5,90,2,
44597824,Home in Asheville · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,281471581,Joanie,,28801,35.58447,-82.55094,Private room,42,30,82,2022-06-30,2.36,5,88,5,
44630954,Guest suite in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,5043696,Donna,,28804,35.64649,-82.5879,Private room,300,2,5,2021-05-31,0.15,1,0,0,
44632019,Guest suite in Arden · ★4.90 · Studio · 1 bed · 1 bath,28313997,Ciera,,28704,35.48213,-82.58607,Entire home/apt,121,2,92,2023-05-14,2.70,1,60,12,
44665751,Guest suite in Asheville · ★4.97 · 1 bedroom · 1 bed · 1 bath,4294340,Jill,,28806,35.57649,-82.59395,Entire home/apt,119,2,106,2023-05-30,3.24,2,77,28,
44678181,Tent in Asheville · ★4.65 · 1 bedroom · 1 bed · 1 bath,151279507,Bobby And Amanda,,28806,35.61201,-82.6035,Entire home/apt,38,2,31,2023-05-27,0.91,19,170,11,
44678188,Condo in Asheville · ★4.90 · 2 bedrooms · 3 beds · 2 baths,67969363,Jon And Emily,,28803,35.55329,-82.47545,Entire home/apt,112,2,147,2023-06-02,4.46,8,216,48,
44762647,Home in Arden · ★4.91 · 3 bedrooms · 3 beds · 2.5 baths,722034,Darlene And Ron,,28704,35.47813,-82.50262,Entire home/apt,203,2,55,2023-06-04,1.61,11,339,10,
44841713,Guest suite in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,315904078,Kristy,,28806,35.58413,-82.57702,Entire home/apt,106,1,414,2023-06-14,12.02,1,246,128,
44841826,Campsite in Asheville · ★4.97 · 1 bed · Half-bath,26536049,Simone,,28805,35.62376,-82.48328,Entire home/apt,89,1,34,2022-10-25,1.00,2,12,5,
44945076,Home in Arden · ★4.77 · 3 bedrooms · 3 beds · 3 baths,96187307,Yonder,,28704,35.48181,-82.50555,Entire home/apt,139,2,26,2023-04-04,0.81,51,92,8,
